"Duration..in.seconds.","Finished","ResponseId","Q2","Q3","Q4","Q2.1","Q3.1","Q4.1","Q2.2","Q3.2","Q4.2","Q5","Q5_5_TEXT","Q6","Q6_5_TEXT","Q7","Q8","Q8_4_TEXT","ConditionAssigned"
"71","True","R_5BSjI25nHfKqBeu","Moderately unsurprising","Slightly likely","Slightly unlikely","","","","","","","Students","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Gain"
"43","True","R_1CZYO8n929u2Hax","","","","","","","Neither surprising nor unsurprising","Slightly likely","Extremely unlikely","Students","","Man","","22","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Control"
"144","True","R_310ycPSeV3cxPsw","","","","Moderately unsurprising","Extremely likely","Extremely likely","","","","Not Affiliated","","Woman","","56","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"53","True","R_6M6bN1l1PUZjy2X","","","","Moderately unsurprising","Extremely likely","Moderately likely","","","","Students","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"61","True","R_5EL8weRJtNEFwbN","Extremely unsurprising","Extremely likely","Moderately likely","","","","","","","Students","","Woman","","19","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"65","True","R_2vgH598dgkQKCJP","","","","","","","Extremely unsurprising","Extremely unlikely","Extremely unlikely","Students","","Man","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"73","True","R_7rINRH2pkYPSc6E","Slightly unsurprising","Moderately likely","Moderately likely","","","","","","","Students","","Woman","","19","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Gain"
"136","True","R_32MmdnSqaVCC8RF","","","","","","","Slightly surprising","Moderately likely","Slightly likely","Students","","Woman","","I9","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"88","True","R_3vLMYuVtcspiTvz","","","","Extremely unsurprising","Slightly unlikely","Extremely unlikely","","","","Students","","Woman","","20","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"93","True","R_5pVZ5IQLtQBSxcR","","","","Moderately surprising","Neither likely nor unlikely","Neither likely nor unlikely","","","","Students","","Woman","","20","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"119","True","R_5dhZLkcD1rsP5tu","","","","","","","Slightly unsurprising","Neither likely nor unlikely","Extremely unlikely","Students","","Prefer not to say","","20","Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"105","True","R_3dXZv1N6tygpQ4q","Moderately unsurprising","Extremely unlikely","Extremely unlikely","","","","","","","Students","","Woman","","20","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"56","True","R_1LwKbdHXeZIahxx","","","","","","","","","","","","","","","","",""
"54","True","R_2EubExUvabdrV8l","","","","Moderately unsurprising","Moderately likely","Extremely likely","","","","Students","","Woman","","18","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"51","True","R_5wh0tLZcI0HSPUB","Extremely unsurprising","Slightly likely","Moderately unlikely","","","","","","","Students","","Man","","19","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Gain"
"78","True","R_5roR2BNFZQlL64I","","","","","","","Slightly unsurprising","Slightly likely","Slightly likely","Students","","Man","","24","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"85","True","R_3rkzAPyGiwCgFLU","","","","","","","Moderately unsurprising","Moderately likely","Moderately unlikely","Students","","Man","","24","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"70","True","R_1iRak0R0GUemJjk","","","","Extremely surprising","Extremely likely","Extremely likely","","","","Students","","Woman","","22","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"80","True","R_5fivjVnB4bHoufy","Extremely surprising","Extremely likely","Slightly likely","","","","","","","Other (please specify)","","Man","","24","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Gain"
"99","True","R_5pxnxshiffzOmsE","","","","","","","Moderately unsurprising","Moderately likely","Moderately likely","Students","","Woman","","20","Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"27","True","R_26fnMiOd6cyliwH","","","","","","","","","","","","","","","","",""
"120","True","R_2UhdYV0GluzxroC","","","","Slightly unsurprising","Slightly likely","Slightly likely","","","","Students","","Woman","","20","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"57","True","R_8OkgrACH0vqBe0N","Moderately surprising","Slightly likely","Slightly unlikely","","","","","","","Students","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Gain"
"75","True","R_7g4VgMcH7Svl9U5","","","","Moderately unsurprising","Moderately likely","Slightly likely","","","","Students","","Woman","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"89","True","R_3gEKd49f3dsh4U9","","","","Moderately unsurprising","Slightly unlikely","Slightly unlikely","","","","Students","","Woman","","21","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"386","True","R_7z8eLXyOsJt13Uk","","","","","","","Neither surprising nor unsurprising","Moderately unlikely","Extremely unlikely","Students","","Man","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"15","True","R_7fdhgwlT77Jeymj","","","","","","","","","","","","","","","","",""
"77","True","R_5SdhHiAM1BhH54p","","","","","","","Extremely unsurprising","Slightly unlikely","Moderately unlikely","Students","","Woman","","19","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Control"
"80","True","R_5dNvg2BuZrg5Kss","Slightly surprising","Slightly unlikely","Slightly likely","","","","","","","Students","","Woman","","19","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Gain"
"259","True","R_7QLFJi1nHrw9V2P","","","","Neither surprising nor unsurprising","Extremely likely","Moderately likely","","","","Students","","Prefer not to say","","20","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Loss"
"93","True","R_57WYmPRzXDSeSKR","","","","","","","Moderately unsurprising","Neither likely nor unlikely","Neither likely nor unlikely","Students","","Man","","19","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"73","True","R_1R8E8XTlpyqAXLP","Moderately unsurprising","Slightly unlikely","Neither likely nor unlikely","","","","","","","Students","","Woman","","20","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Gain"
"106","True","R_6OW74jbYqKL3ikV","Extremely unsurprising","Extremely unlikely","Extremely unlikely","","","","","","","Students","","Man","","21","Other (Specify)","Substitute to convenience  ","Gain"
"70","True","R_5AjjRK492Lljyxz","","","","Slightly unsurprising","Moderately likely","Slightly likely","","","","Students","","Man","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Loss"
"115","True","R_5o7G9oVfLl8H9xw","","","","","","","Neither surprising nor unsurprising","Slightly likely","Neither likely nor unlikely","Students","","Woman","","21","Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"181","True","R_3nHJrQkcD2nf1IM","","","","Slightly surprising","Slightly unlikely","Moderately unlikely","","","","Students","","Woman","","20","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"5616","True","R_78HQ71fTuW0awFb","","","","","","","Extremely unsurprising","Moderately likely","Moderately likely","Students","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Control"
"49","True","R_7mmkGU11fel5e6J","Moderately surprising","Moderately likely","Slightly likely","","","","","","","Students","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Gain"
"93","True","R_3E02UFF150agytV","","","","","","","Moderately unsurprising","Slightly likely","Slightly likely","Students","","Woman","","19","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Control"
"145","True","R_3AJHwuxmhY4zp0R","Slightly surprising","Slightly likely","Slightly unlikely","","","","","","","Students","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup),Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"35","True","R_2sh9aB8AOECQhYv","","","","","","","Slightly unsurprising","Extremely unlikely","Extremely unlikely","Students","","Woman","","22","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Control"
"50","True","R_5m0lnPzpem8Z0M9","","","","Slightly surprising","Extremely unlikely","Extremely unlikely","","","","Students","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Loss"
"60","True","R_5efOR25E4CRXPW6","","","","Moderately unsurprising","Slightly unlikely","Moderately unlikely","","","","Students","","Man","","20","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Loss"
"49","True","R_7HjVpX6tsulNlqZ","Slightly surprising","Slightly likely","Slightly likely","","","","","","","Students","","Woman","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day),Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Gain"
"56","False","R_7CNdtdw6qqwMGcc","","","","","","","","","","","","","","","","","Loss"
"91","True","R_8VPQF9ai6Lrhbax","","","","","","","Extremely unsurprising","Extremely unlikely","Extremely unlikely","Students","","Woman","","20","Learning about the financial implications of using single-use cups (i.e., cost per cup)","","Control"
"165","True","R_7t3YFsezgAn8QQU","","","","Neither surprising nor unsurprising","Extremely unlikely","Slightly unlikely","","","","Students","","Man","","21","Other (Specify)","Nothing. Often I don't pay explicity for it, it will come served in the cup. ","Loss"
"49","True","R_3aOKRatgTlSR240","Extremely surprising","Slightly likely","Slightly unlikely","","","","","","","Students","","Man","","19","Preferences for alternatives of single-use cup (i.e., I prefer to use my own mug)","","Gain"
"81","True","R_4dh8hABCGlhs8ka","Extremely unsurprising","Extremely unlikely","Extremely unlikely","","","","","","","Other (please specify)","Alumni","Man","","24","Other (Specify)","Increasing the price of single use cups above $1","Gain"
"82","True","R_7iOOHIfY3kuYfsN","","","","Slightly surprising","Extremely unlikely","Extremely unlikely","","","","Students","","Man","","21","Learning about the environmental consequences associated with single-use cups (i.e,. pollution, cups used per day)","","Loss"
